Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
16,0,33,1,6123,98,25,25,2,1,1,25,392.445,1
12,1,32,0,3295,41,8,17,3,1,2,30,165.44,1
12,0,33,0,2573,44,33,32,3,1,2,30,236.68,1
3,0,33,0,438,2,0,3,3,1,2,30,17.6,1
3,0,33,0,933,7,8,5,4,1,2,45,43.5,1
6,0,6,1,1792,19,0,8,3,1,1,30,72.44,1
7,0,44,0,305,12,15,3,3,1,2,30,72.68,1
30,1,40,0,1260,59,31,20,3,1,2,30,176.76,1
16,1,42,0,3295,53,24,19,3,1,2,30,229.92,1
16,1,43,0,2573,56,49,34,4,1,2,45,188.225,1
7,0,43,0,438,14,15,5,3,1,2,30,78.08,1
7,0,43,0,933,19,24,7,4,1,2,45,83.8,1
10,0,16,3,1792,31,15,10,3,1,1,30,132.92,1
11,0,40,0,1015,17,15,2,3,1,2,30,101.28,1
34,1,36,0,1970,64,31,19,3,2,2,30,205.36,1
20,1,38,0,4005,58,24,18,3,1,2,30,258.52,1
20,1,39,0,3283,61,49,33,4,1,2,45,206.1,1
11,0,39,0,1148,19,15,4,3,1,2,30,106.68,1
11,0,39,0,1643,24,24,6,4,1,2,45,101.675,1
22,1,30,0,1715,42,25,9,3,1,2,30,170.28,1
14,1,12,3,2502,36,15,9,3,1,1,30,161.52,1
0,0,38,0,0,0,0,0,2,1,2,25,0.0,1
22,0,34,0,550,42,0,19,3,1,2,30,23.68,1
12,0,37,1,5413,93,8,26,2,1,1,25,283.77,1
8,1,36,0,2585,36,0,18,3,1,2,30,104.84,1
8,0,37,0,1863,39,16,33,3,1,2,30,140.08,1
0,0,37,0,0,0,0,0,3,1,2,30,0.0,1
0,0,37,0,223,2,0,6,4,1,2,45,5.625,1
2,1,10,1,1082,14,0,9,3,1,1,30,43.84,1
5,0,39,0,305,6,7,2,2,1,2,25,45.495,1
28,1,35,0,1260,53,23,19,3,1,2,30,144.52,1
14,1,37,0,3295,47,16,18,3,1,2,30,197.68,1
14,0,38,0,2573,50,41,33,4,1,2,45,168.075,1
5,0,38,0,438,8,7,4,3,1,2,30,45.84,1
5,0,38,0,933,13,16,6,4,1,2,45,63.65,1
8,1,11,2,1792,25,7,9,3,1,1,30,100.68,1
5,0,39,0,305,6,7,2,2,1,2,25,45.495,1
28,1,35,0,1260,53,23,19,3,1,2,30,144.52,1
14,1,37,0,3295,47,16,18,3,1,2,30,197.68,1
14,1,38,0,2573,50,41,33,4,1,2,45,168.075,1
5,0,38,0,438,8,7,4,3,1,2,30,45.84,1
5,1,38,0,933,13,16,6,4,1,2,45,63.65,1
8,1,11,2,1792,25,7,9,3,1,1,30,100.68,1
